OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
2397,1202,1ST AVE S,518,N,2014/10/10 00:00:00+00,,,17130,15649,17100,Study - 13-15,,760.007189126093
2398,"14262,14263,14265,14264",E JOHN ST,1079,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,1201.59905792532
2399,"5497,5493,5499,5495,5498,5494,5500,5496,11657,11656,11653,11654,11655","35TH AVE SW,MARINE VIEW DR SW",48,N,2014/02/19 00:00:00+00,,,1817,1756,1800,Study - 13-15,,6697.99907632998
2400,16727,NE 40TH ST,1377,N,1970/01/01 00:00:00+00,,,15500,,15500,Estimate,,161.591091227207
2401,"14356,14359,14357,14358,14360",E MADISON ST,1110,N,2013/10/22 00:00:00+00,,,15035,14148,15000,Study - 13-15,,1631.45273800976
2402,"164420,11568,164421,164430,11565,11563,11566,11564",M L KING JR WAY S,173,N,1970/01/01 00:00:00+00,,,10300,,10300,Estimate,,3444.76118911058
2403,"18899,18900,18904,18902,18906,18907,18898,18905,18901,18903",NW 80TH ST,1757,N,2015/06/16 00:00:00+00,,,9635,10591,9600,Study - 13-15,,2660.19116542384
2404,"18973,18979,18976,18977,18978,18971,18974,18975,18970,18972",NW 85TH ST,1785,N,2015/11/03 00:00:00+00,,,14842,14602,14800,Study - 13-15,,2657.94661756348
2405,"21285,21284",S SPOKANE ST,377,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,277.004333836492
2406,23623,W OLYMPIC PL,1185,N,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,322.00947674536
2407,"14215,13880","E JAMES WAY,E CHERRY ST",754,N,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,1068.75087327029
2408,"5079,5084,5081,157138,5082,5080,5083",32ND AVE W,1285,N,2015/11/06 00:00:00+00,,,5110,4897,5100,Study - 13-15,,2649.00455062353
2409,14068,EAST GREEN LAKE DR N,1720,N,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,149.472701187596
2410,"22115,22116,22114,22117",SW EDMUNDS ST,288,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,1328.99624582538
2411,"4558,4559,4562,4561,4563,4560",3RD AVE W,1275,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,2263.58717288636
2412,1380,11TH AVE,871,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,238.439168031964
2413,"8920,8921,8924,8925,8927,8928,8922,8929,8926,8923",AURORA AVE N,1978,N,1970/01/01 00:00:00+00,,,58000,,58000,Estimate,,3361.55513506814
2414,"13715,13716,1085,1086","WOODLAWN AVE NE,1ST AVE NE",1736,N,2015/11/17 00:00:00+00,,,2891,2742,2900,Study - 13-15,,1855.69805540505
2415,"10822,21812,21813","HARBOR AVE SW,SW AVALON WAY",407,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,248.127349985505
2416,"2315,2314,1955","16TH AVE S,14TH AVE S",137,N,2014/10/30 00:00:00+00,,,15261,12686,15300,Study - 13-15,,2912.56278336941
2417,"18624,18623,18622,18620,18621",NW 65TH ST,1654,N,2015/11/04 00:00:00+00,,,13632,13178,13600,Study - 13-15,,1416.88967161272
2418,"11156,11153,11152,11155,11157,11154",LAKE CITY WAY NE,1796,N,1970/01/01 00:00:00+00,,,40000,,40000,Estimate,,1923.13271324038
2419,"3726,3725,3727",25TH AVE NE,1620,N,2014/10/22 00:00:00+00,,,15323,14746,15300,Study - 13-15,,2644.00853745914
2420,23206,W DENNY WAY,1074,B,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,149.163593410222
2421,9663,CHERRY ST,671,Y,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,321.411777873046
2422,"7341,7339,7340",5TH AVE NE,1924,N,2015/05/20 00:00:00+00,,,6990,6563,7000,Study - 13-15,,3988.297273481
2423,"23326,1364,1366,1365,1360,1367,1363,1361,1362","W FULTON ST,10TH AVE W",1277,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,2424.66561835803
2424,"21967,21971,21968,21966,21969,21970",SW CHARLESTOWN ST,363,N,2013/08/06 00:00:00+00,,,2688,2595,2700,Study - 13-15,,1975.35347699578
2425,10685,GREEN LAKE WAY N,1464,N,1970/01/01 00:00:00+00,,,8500,,8500,Estimate,,343.172777951192
2426,"9168,9161,9164,9167,9163,9156,9166,9165,275063,9160,9159,9158,9162",BEACON AVE S,156,N,2015/11/05 00:00:00+00,,,4274,4049,4300,Study - 13-15,,5423.24529995117
2427,"23164,23166,23170,23168,23163,23165,23167,23169,6403,3217,3218","W COMMODORE WAY,40TH AVE W,21ST AVE W",1536,N,2014/02/20 00:00:00+00,,,6292,5150,6300,Study - 13-15,,8832.82788067907
2428,"16928,16929,16927",NE 50TH ST,1513,N,2013/10/01 00:00:00+00,,,18203,18244,18200,Study - 13-15,,812.961396761518
2429,"4827,4826",31ST AVE S,588,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,903.55798979558
2430,11941,MYERS WAY S,94,N,2015/05/06 00:00:00+00,,,6196,5719,6200,Study - 13-15,,2781.79481847115
2431,"18968,18967,18961,18966,18969,18965,18964,18962,18963",NW 85TH ST,1783,N,2014/11/20 00:00:00+00,,,12801,12830,12800,Study - 13-15,,2663.17270576276
2432,"3375,3370,3374,3373,3376,3372,3371",23RD AVE E,1167,N,1970/01/01 00:00:00+00,,,17500,,17500,Estimate,,2390.11539023516
2433,"22219,22217,22218,22222,22225,22223,22220,22221,22224,22216,7727,7728,7729,7730","SW GENESEE ST,55TH AVE SW",371,N,2015/06/03 00:00:00+00,,,1951,1883,2000,Study - 13-15,,4978.97283210868
2434,"15010,15011",N 105TH ST,1833,N,1970/01/01 00:00:00+00,,,22000,,22000,Estimate,,662.256254966544
2435,2898,2ND AVE SW,178,N,1970/01/01 00:00:00+00,,,23000,,23000,Estimate,,969.880355644718
2436,"13760,13759",YESLER WAY,615,Y,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,338.190527870946
2437,16826,NE 44TH ST,1425,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,241.814168560514
2438,7227,5TH AVE,678,Y,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,305.902137325092
2439,12776,SENECA ST,776,Y,2015/03/05 00:00:00+00,,,5595,4968,5600,Study - 13-15,,395.922308155093
2440,6137,4TH AVE,916,Y,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,425.973347739586
2441,12490,RAYE ST,1266,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,602.340419654428
2442,"9007,9006",AURORA AVE N,1993,N,2015/06/09 00:00:00+00,,,21202,19931,21200,Study - 13-15,,858.732499201136
2443,"20504,20502,20503",S JACKSON ST,555,N,2015/09/21 00:00:00+00,,,10610,9845,10600,Study - 13-15,,1189.1435136593
2444,"11595,11594,11593,11592",MADISON ST,817,B,2015/07/20 00:00:00+00,,,21591,20647,21600,Study - 13-15,,1269.95727161444
2445,"16117,16115,16113,16118,16111,16116,16114,16112",N NORTHGATE WAY,1848,N,2015/12/14 00:00:00+00,,,24872,24458,24900,Study - 13-15,,3267.02597576148
2446,9995,W SEATTLE BR EB ON RP,390,N,2015/09/03 00:00:00+00,,,17568,15833,17600,Study - 13-15,,704.821077141103
2447,"7256,7334,7260,7261,7335,7258,7259,7257",5TH AVE NE,1878,N,2015/07/20 00:00:00+00,,,14169,13581,14200,Study - 13-15,,3973.67981732203
2448,9394,BOYLSTON AVE E,1274,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,477.600067978182
2449,"2084,2086,2085",15TH AVE NE,2085,N,1970/01/01 00:00:00+00,,,15900,,15900,Study - 13-15,,1803.20714436095
2450,"22380,22374,22378,22382,22376,22383,22375,22373,22377,22379,22372,22381",SW HOLDEN ST,152,N,2015/04/23 00:00:00+00,,,6157,5596,6200,Study - 13-15,,4000.47390881984
2451,"12511,12513,12521,12512,12518,12514,12522,12520,12516,12515,12519,12517",RENTON AVE S,160,N,2015/07/22 00:00:00+00,,,7612,7447,7600,Study - 13-15,,3581.63699943864
2452,20314,S HOLGATE BR,483,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,1133.73907311925
2453,"10183,10181,10178,10179,10182,10180,10177",EASTLAKE AVE E,1964,N,2014/10/22 00:00:00+00,,,14036,12771,14000,Study - 13-15,,4165.60071648715
2454,"15544,15543,15545,15547,15542,15546",N 45TH ST,1462,N,2014/08/19 00:00:00+00,,,21558,21217,21600,Study - 13-15,,1441.85526739472
2455,"11213,11212",LAKE WASHINGTON BLVD E,1251,N,1970/01/01 00:00:00+00,,,16000,,16000,Estimate,,2906.49572950963
2456,"12907,12906",STEWART ST,1002,Y,2014/03/05 00:00:00+00,,,12410,11254,12400,Study - 13-15,,643.731476805377
2457,"13518,13517,13516,13515",WESTERN AVE,1024,Y,1970/01/01 00:00:00+00,,,15500,,15500,Estimate,,1307.60798505791
2458,8322,8TH AVE NE,1648,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,288.281322352231
2459,1010,1ST AVE,805,Y,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,197.528634580487
2460,13221,UNIVERSITY WAY NE,1443,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,537.838836747016
2461,"9246,9247",BELMONT AVE E,1189,N,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,514.750293032907
2462,"19651,19650,19649",S CLOVERDALE ST,29,N,2015/01/29 00:00:00+00,,,11048,9766,11000,Study - 13-15,,1977.81987709379
2463,"11143,11141,11140,11142,12624","LAKE CITY WAY NE,ROOSEVELT WAY NE",1715,N,1970/01/01 00:00:00+00,,,4000,,4000,Estimate,,1466.39895693854
2464,"2156,2157,2155,2154",15TH AVE S,347,N,2015/05/07 00:00:00+00,,,20958,20555,21000,Study - 13-15,,1763.85739815774
2465,"1026,1028,1025,1027,1029",1ST AVE N,1135,N,2015/01/06 00:00:00+00,,,7879,7847,7900,Study - 13-15,,2179.93668388099
2466,"8727,8725,8726,269161",ALASKAN WAY,800,Y,2014/07/08 00:00:00+00,,,10639,0,10600,Study - 13-15,,1245.14494107763
2467,1852,14TH AVE,954,N,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,423.098274317198
2468,"3457,3456",23RD AVE S,476,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,582.368686560952
2469,20298,S HOLDEN ST,149,N,1970/01/01 00:00:00+00,,,21500,,21500,Estimate,WSDOT,327.231628438285
2470,"13532,13535,13533,13534",WESTLAKE AVE N,1114,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,1705.26284046795
2471,"5368,5366,5367,5364,5363,5365",35TH AVE NE,1764,N,2015/07/20 00:00:00+00,,,13753,12660,13800,Study - 13-15,,2610.46189106223
2472,"8685,8688,8687,8710,8686,8689,8684",AIRPORT WAY S,324,N,2014/06/03 00:00:00+00,,,17156,14265,17200,Study - 13-15,,4176.0668781259
2473,"11762,11764,11766,11763,11765",MERCER ST,1136,N,1970/01/01 00:00:00+00,,,21000,,21000,Estimate,,1931.59746922708
2474,"16837,16836,16835,5353,5354,5352","NE 45TH PL,35TH AVE NE",1547,N,1970/01/01 00:00:00+00,,,8500,,8500,Estimate,,2984.30540987533
2475,"15793,15794,15792,15789,15791,15790",N 65TH ST,1643,N,2015/09/02 00:00:00+00,,,7912,7290,7900,Study - 13-15,,1491.99876057595
2476,8284,8TH AVE,997,Y,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,425.718185409309
2477,10184,EASTLAKE AVE E,1963,N,1970/01/01 00:00:00+00,,,26000,,26000,Estimate,,435.906258898525
2478,9661,CHERRY ST,648,Y,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,322.062677792867
2479,12204,PIKE ST,854,Y,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,322.081672724847
2480,16734,NE 40TH ST,1367,N,1970/01/01 00:00:00+00,,,3700,,3700,Estimate,,285.017424278208
2481,"7980,7981,7982",6TH AVE S,602,Y,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,918.195235187375
2482,11067,JEFFERSON ST,706,B,1970/01/01 00:00:00+00,,,4500,,4500,Estimate,,321.638585803144
2483,7235,5TH AVE,813,Y,2015/07/08 00:00:00+00,,,8285,8120,8300,Study - 13-15,,425.76049770273
2484,"11161,11160,615986,11162",LAKE CITY WAY NE,1828,N,1970/01/01 00:00:00+00,,,35500,,35500,Estimate,,1653.83714247394
2485,7893,6TH AVE,1027,Y,1970/01/01 00:00:00+00,,,4500,,4500,Estimate,,306.918633432399
2486,"20595,20596,20594",S KING ST,549,N,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,644.034747257114
2487,"21314,21315",S SPOKANE ST,395,N,2015/08/20 00:00:00+00,,,11433,10057,11400,Study - 13-15,,1257.75867750352
2488,"19831,19829,19836,19835,19830,19833,19834,19832",S DEARBORN ST,538,N,2015/04/01 00:00:00+00,,,22372,21052,22400,Study - 13-15,,3020.20944159067
2489,"1591,1590",12TH AVE NE,1716,N,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,839.659952944192
2490,"8410,8408,8411,8407,8409",8TH AVE NW,1780,N,1970/01/01 00:00:00+00,,,11500,,11500,Estimate,,1356.58507272501
2491,1651,12TH AVE S,596,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,309.902351694414
2492,"13812,13813,13814",E ALOHA ST,1179,N,2015/07/20 00:00:00+00,,,8392,7927,8400,Study - 13-15,,870.3606592182
2493,10075,DEXTER AVE N,1129,N,2014/01/23 00:00:00+00,,,14445,13037,14400,Study - 13-15,,483.678633995739
2494,"13948,13949,13950,13947,13951",E DENNY WAY,1045,B,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,1203.2153728885
2495,13315,VIRGINIA ST,944,Y,1970/01/01 00:00:00+00,,,8000,,8000,Estimate,,213.453983542827
2496,12219,PINE ST,859,Y,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,322.030508944151
2497,11667,MARION ST,713,Y,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,321.121353006107
2498,"9836,9835,9834,9833",CORSON AVE S,231,N,2015/07/29 00:00:00+00,,,8283,7008,8300,Study - 13-15,,2609.23123046448
2499,14415,EAST MARGINAL WAY S,188,N,2015/10/01 00:00:00+00,,,20907,16711,20900,Study - 13-15,,424.442746284961
2500,2897,2ND AVE SW,186,N,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,629.355412409088
2501,"2187,2188,2186,2189,2184,2185,2190",15TH AVE W,14,N,2015/06/16 00:00:00+00,,,43705,20732,43700,Study - 13-15,,3264.98528884187
2502,7877,6TH AVE,746,Y,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,306.058689616366
2503,6230,4TH AVE S,550,N,2015/03/12 00:00:00+00,,,26803,24103,26800,Study - 13-15,,706.793118742346
2504,"21309,21308",S SPOKANE ST,2019,N,2015/04/03 00:00:00+00,,,6830,5509,6800,Study - 13-15,,1118.4713545555
2505,12710,SAND POINT WAY NE,1542,N,1970/01/01 00:00:00+00,,,19000,,19000,Estimate,,391.478180781751
2506,"1221,1225,1224,1222,1223",1ST AVE S,271,N,2015/08/18 00:00:00+00,,,29707,25519,29700,Study - 13-15,,1881.08324343105
2507,"12049,12050,12051",OLIVE WAY,998,B,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,826.323277171793
2508,10897,HIGHLAND PARK WAY SW,197,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,1275.83694390621
2509,"18960,18959",NW 85TH ST,1781,N,1970/01/01 00:00:00+00,,,17500,,17500,Estimate,,1316.56047274296
2510,2478,17TH AVE S,445,N,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,326.50822700886
2511,13327,WEST SEATTLE BR EB,2027,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,1423.83898639756
2512,"20507,20509,20508,20506,20505",S JACKSON ST,553,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,1192.44597358509
2513,"16861,16860",NE 45TH ST,1435,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,1770.44659076307
2514,"3600,3604,3602,3605,3601,3603",24TH AVE NW,1756,N,2013/01/31 00:00:00+00,,,11960,11349,12000,Study - 13-15,,3959.42982338338
2515,9659,CHERRY ST,630,Y,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,321.690514825524
2516,11166,LAKE CITY WAY NE,1857,N,1970/01/01 00:00:00+00,,,45000,,45000,Estimate,,637.939380114678
2517,12044,OLIVE WAY,898,Y,1970/01/01 00:00:00+00,,,12500,,12500,Estimate,,321.963324157501
2518,7230,5TH AVE,735,Y,1970/01/01 00:00:00+00,,,10500,,10500,Estimate,,306.117798024349
2519,8648,SW ADMIRAL WY OFF RP,5,N,2015/04/07 00:00:00+00,,,8535,8164,8500,Study - 13-15,,1137.08140384123
2520,"10206,10205,10207,10208",ELLIOTT AVE,980,Y,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,1231.17570248973
2521,23422,W HARRISON ST,1105,N,1970/01/01 00:00:00+00,,,4000,,4000,Estimate,,322.030855694935
2522,"10023,13945","DENNY WAY,E DENNY WAY",1035,B,2015/07/31 00:00:00+00,,,22541,22292,22500,Study - 13-15,,987.542205533887
2523,8276,8TH AVE,770,Y,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,306.076154744133
2524,"19644,1235","S CLOVERDALE ST,1ST AVE S",1938,N,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,1293.05107319372
2525,"13391,16035","WALLINGFORD AVE N,N 92ND ST",1799,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,1027.06383813276
2526,511164,3RD AVE NE,1822,N,1970/01/01 00:00:00+00,,,2300,,2300,Estimate,,662.412620191468
2527,"8974,8978,8979,8984,8982,8983,8969,8971,8973,8977,8975,8976,8980,8981,8970,8972",AURORA AVE N,1829,N,2015/11/18 00:00:00+00,,,37401,35129,37400,Study - 13-15,,3963.51199977935
2528,"19682,19681",S COLLEGE ST,467,N,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,300.364916181008
2529,17383,NE 70TH ST,1945,N,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,430.11334399872
2530,"12559,12560",REPUBLICAN ST,1119,N,1970/01/01 00:00:00+00,,,1000,,1000,Study - 13-15,,643.649303976415
2531,"9054,9053,9056,9055,17504,17505","BANNER WAY NE,NE 75TH ST",1714,N,2015/07/15 00:00:00+00,,,18100,17156,18100,Study - 13-15,,1393.28890938402
2532,"10642,336163,10640,10643,10644,10641,10638,10639,23388,23386,23385,23384,23387,23383","GILMAN AVE W,W GOVERNMENT WAY",1466,N,2015/07/30 00:00:00+00,,,10843,10490,10800,Study - 13-15,,4107.47146181747
2533,"21329,21328",S SPOKANE ST,380,N,2014/09/25 00:00:00+00,,,9617,8377,9600,Study - 13-15,,1262.99014567107
2534,"15012,15018,15016,15017,15014,15013,15015",N 105TH ST,1830,N,2015/09/01 00:00:00+00,,,22508,21479,22500,Study - 13-15,,1986.74418428808
2535,"1280,1278,1277,1279,12882","1ST AV S BR SB,SR509 SB",20,N,2015/09/03 00:00:00+00,,,30110,29141,30100,Study - 13-15,WSDOT,4874.30706229602
2536,"14518,14517",EAST MONTLAKE PL E,1270,N,1970/01/01 00:00:00+00,,,24500,,24500,Estimate,,390.583616669332
2537,7883,6TH AVE,845,Y,2014/07/09 00:00:00+00,,,7820,7452,7800,Study - 13-15,,426.368988516556
2538,1737,13TH AVE,884,N,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,163.003518472361
2539,"11579,11578",MADISON ST,657,Y,1970/01/01 00:00:00+00,,,4000,,4000,Estimate,,311.774330437425
2540,"4830,4832,4835,4841,4831,4842,4845,4834,4843,4838,4840,4833,4829,4828,4836,4837,4847,4839,4846,4844",31ST AVE S,551,N,2015/03/09 00:00:00+00,,,4975,4522,5000,Study - 13-15,,7702.37029502384
2541,13506,WESTERN AVE,827,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,424.559161972417
2542,11519,M L KING JR WAY S,435,N,2013/05/21 00:00:00+00,,,9795,9069,9800,Study - 13-15,,741.752249135072
2543,12046,OLIVE WAY,936,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,322.075873864386
2544,"7246,7245,7244",5TH AVE,1005,Y,2015/03/03 00:00:00+00,,,9433,8680,9400,Study - 13-15,,1278.37618559952
2545,"11774,11773,11775",MERCER ST,1125,N,1970/01/01 00:00:00+00,,,30420,28824,30400,Study - 13-15,,1026.73867925385
2546,13316,VIRGINIA ST,960,Y,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,108.889549245182
2547,10238,EMERSON NICKERSON RP,1358,N,1970/01/01 00:00:00+00,,,6500,,6500,Estimate,,283.420335833399
2548,"21819,21815,21817,21816,21818",SW AVALON WAY,364,N,2015/05/28 00:00:00+00,,,14767,14012,14800,Study - 13-15,,2296.26858693572
2549,8281,8TH AVE,923,Y,1970/01/01 00:00:00+00,,,4300,,4300,Estimate,,425.767214160037
2550,"9969,9965,9971,9964,9967,9977,9975,9973,9976,9970,9972,9966,9968,9963",DELRIDGE WAY SW,310,N,2015/08/10 00:00:00+00,,,19876,18890,19900,Study - 13-15,,9225.01224903596
2551,16119,N NORTHGATE WAY,1950,N,1970/01/01 00:00:00+00,,,39000,,39000,Estimate,,659.697231343987
2552,3369,23RD AVE E,1087,N,1970/01/01 00:00:00+00,,,15500,,15500,Estimate,,378.269400913491
2553,1536,12TH AVE,911,N,1970/01/01 00:00:00+00,,,13500,,13500,Estimate,,443.739713346989
2554,17506,NE 75TH ST,1712,N,2015/07/21 00:00:00+00,,,24222,24160,24200,Study - 13-15,,269.1511471662
2555,"11591,11590",MADISON ST,782,Y,2015/10/19 00:00:00+00,,,21090,20281,21100,Study - 13-15,,644.444747011005
2556,"23570,23571",W MCGRAW ST,1248,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,656.496947445425
2557,490707,EAST MARGINAL WAY S,350,N,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,890.923926486594
2558,"2194,2195",15TH AVE W,1986,N,1970/01/01 00:00:00+00,,,51500,,51500,Estimate,,762.676521269282
2559,"19225,19224,19223",NW MARKET ST,1562,N,2014/01/08 00:00:00+00,,,20373,20277,20400,Study - 13-15,,1825.89583585213
2560,10335,FAIRVIEW AVE,1040,B,1970/01/01 00:00:00+00,,,14500,,14500,Estimate,,242.852135173566
2561,12773,SENECA ST,741,Y,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,322.090264244822
2562,"493217,486180,22520,22521","SW SPOKANE ST,SW KLICKITAT WAY",399,N,2015/04/03 00:00:00+00,,,7674,6170,7700,Study - 13-15,,1888.81039062927
2563,"23222,23221,23220",W DRAVUS ST,1296,N,2014/08/05 00:00:00+00,,,21077,20275,21100,Study - 13-15,,1287.1987273817
2564,9477,BROOKLYN AVE NE,1402,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,82.2516695285442
2565,"575310,23527",WEST MARGINAL WAY SW,413,N,1970/01/01 00:00:00+00,,,1300,,1300,Estimate,,995.738231625566
2566,2761,2ND AVE,862,Y,1970/01/01 00:00:00+00,,,12800,,12800,Estimate,,425.984365588345
2567,"2524,2525",17TH AVE NE,1500,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,1319.63066518125
2568,2754,2ND AVE,724,Y,1970/01/01 00:00:00+00,,,20000,,20000,Estimate,,305.907452987886
2569,12205,PIKE ST,877,Y,2015/03/05 00:00:00+00,,,12115,11883,12100,Study - 13-15,,322.022568995639
2570,13343,WEST SEATTLE BR WB,2015,N,1970/01/01 00:00:00+00,,,36000,,36000,Study - 13-15,,2047.63751162574
2571,"17439,17380","NE 71ST ST,NE 70TH ST",1688,N,1970/01/01 00:00:00+00,,,11000,,11000,Estimate,,819.545253998361
2572,11769,MERCER ST,1130,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,322.03158583966
2573,"14063,14065,14064,14066,14062,14061,14067,14060",EAST GREEN LAKE DR N,1719,N,2015/08/14 00:00:00+00,,,13036,12425,13000,Study - 13-15,,2749.00607756557
2574,"18079,18078",NE RAVENNA BLVD,1557,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,627.17994062585
2575,"20501,20500,510318",S JACKSON ST,557,N,2015/05/08 00:00:00+00,,,9157,8697,9200,Study - 13-15,,1017.39616162496
2576,"352719,11523,484871,11528,352636,484892,352777,352479,11525,352481,352478,11527,484893",M L KING JR WAY S,420,N,1970/01/01 00:00:00+00,,,20382,21592,20400,Study - 13-15,,4787.56309449396
2577,6170,4TH AVE N,1280,N,1970/01/01 00:00:00+00,,,21000,,21000,Estimate,,267.626346050676
2578,4516,3RD AVE S,575,Y,1970/01/01 00:00:00+00,,,1000,,1000,Estimate,,289.588237365439
2579,"13895,13897,13894,13893,13892,13896,13898",E CHERRY ST,744,N,2015/05/08 00:00:00+00,,,8689,8029,8700,Study - 13-15,,1607.27199108113
2580,"10353,10354,10355,10358,10356,10357",FAIRVIEW AVE N,1194,N,2014/10/29 00:00:00+00,,,8927,7903,8900,Study - 13-15,,3090.18650238502
2581,"47327,18095",NE RAVENNA BLVD,1583,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,1078.86798765269
2582,"16290,16292,16289,16291,16294,16293,16295",NE 110TH ST,1839,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,2642.94026318651
2583,10823,HARBOR AV SW OFF RP,4,N,2015/04/07 00:00:00+00,,,4744,0,4700,Study - 13-15,,804.484355539077
2584,16923,NE 50TH ST,1518,N,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,136.481496539696
2585,"6251,6294,6250,6255,163834,6252,6254,6253",4TH AVE S,343,N,2015/06/04 00:00:00+00,,,27972,23389,28000,Study - 13-15,,5208.72072512441
2586,"13624,13623",WINONA AVE N,1710,N,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,590.867523492715
2587,12419,RAINIER AVE S,119,N,1970/01/01 00:00:00+00,,,21500,,21500,Estimate,,1044.52803562773
2588,"8520,489857",9TH AVE,895,Y,1970/01/01 00:00:00+00,,,12500,,12500,Estimate,,425.791060027673
2589,14956,E YESLER WAY,589,N,2015/11/04 00:00:00+00,,,5229,4657,5200,Study - 13-15,,300.131581383972
2590,1997,15TH AVE,952,N,1970/01/01 00:00:00+00,,,4000,,4000,Estimate,,287.456415825167
2591,7889,6TH AVE,966,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,425.961205763143
2592,11052,JAMES ST,642,Y,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,322.172035724134
2593,163344,4TH AVE NB OFF RP,510,N,1970/01/01 00:00:00+00,,,1000,,1000,Estimate,,433.163442512626
2594,"23224,23223",W DRAVUS ST,1298,N,1970/01/01 00:00:00+00,,,10500,,10500,Estimate,,661.178353857734
2595,"21714,21710,21712,21713,21711,21725,21724",SW ADMIRAL WAY,455,N,2015/02/04 00:00:00+00,,,10521,10379,10500,Study - 13-15,,3872.56365776342
2596,"14020,14023,14021,14022,14024,14025",E GALER ST,1193,N,2013/10/23 00:00:00+00,,,3063,2844,3100,Study - 13-15,,1299.28556522605
2597,"1111,1108,1109,1112,1113,1110",1ST AVE NE,1927,N,2015/05/19 00:00:00+00,,,5652,4898,5700,Study - 13-15,,2910.40346192188
2598,"4545,4544",3RD AVE W,1184,N,2014/04/21 00:00:00+00,,,7223,6752,7200,Study - 13-15,,777.610371270867
