OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1967,"12747,12743,12742,12746,12745,12744,16506,16504,16505,16507,16508","SAND POINT WAY NE,NE 125TH ST",1870,N,2015/11/03 00:00:00+00,,,10842,4953,10800,Study - 13-15,,5313.54967883649
1968,2757,2ND AVE,789,Y,2014/12/08 00:00:00+00,,,15481,14677,15500,Study - 13-15,,425.90556816893
1969,"10372,10382,10371",FAUNTLEROY WAY SW,335,N,1970/01/01 00:00:00+00,,,37000,,37000,Estimate,,515.000656259121
1970,"17265,17264,17263",NE 65TH ST,1626,N,2015/02/27 00:00:00+00,,,17084,16160,17100,Study - 13-15,,918.568838404348
1971,"2047,2046,2045",15TH AVE NE,1623,N,2014/10/22 00:00:00+00,,,11603,10828,11600,Study - 13-15,,1341.5951415554
1972,13497,WESTERN AVE,641,Y,1970/01/01 00:00:00+00,,,5500,,5500,Estimate,,305.947518742177
1973,12886,SR509 SB,112,N,2015/05/06 00:00:00+00,,,32333,29296,32300,Study - 13-15,WSDOT,3868.65814176298
1974,"11164,11163",LAKE CITY WAY NE,1837,N,1970/01/01 00:00:00+00,,,30000,,30000,Estimate,,1420.20382815314
1975,13202,UNIVERSITY ST,761,Y,1970/01/01 00:00:00+00,,,7691,8123,7700,Study - 13-15,,321.930179933255
1976,"17987,17986",NE CAMPUS PKWY,1395,N,1970/01/01 00:00:00+00,,,4300,,4300,Estimate,,708.679715452618
1977,8524,9TH AVE,992,Y,1970/01/01 00:00:00+00,,,3500,,3500,Estimate,,425.895755142112
1978,"10187,10186,1407,1406","EASTLAKE AVE NE,11TH AVE NE",1419,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,1470.2444384957
1979,"14362,14363,14364,14361",E MADISON ST,1147,N,2015/07/27 00:00:00+00,,,15524,0,15500,Study - 13-15,,1391.27660152005
1980,"21634,21633,21630,21632,21631",SW 106TH ST,53,N,2015/09/17 00:00:00+00,,,3270,3056,3300,Study - 13-15,,1555.31401375101
1981,"9559,9556,9558,9557,9561,9562,9560,9555",CALIFORNIA AVE SW,287,N,2015/08/10 00:00:00+00,,,13156,12616,13200,Study - 13-15,,4612.24913457435
1982,21820,SW AVALON WAY,330,N,1970/01/01 00:00:00+00,,,16000,,16000,Estimate,,984.368302613656
1983,9729,COLUMBIA ST,655,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,322.020597375229
1984,"12909,12908",STEWART ST,1029,B,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,643.91992569975
1985,2750,2ND AVE,645,Y,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,305.964327921227
1986,6262,4TH AVE S,207,N,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,527.70903220478
1987,"20697,20696,20695,20698",S LUCILE ST,268,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,1449.81157981301
1988,"17507,17508,17509",NE 75TH ST,28,N,1970/01/01 00:00:00+00,,,19500,,19500,Estimate,,544.402822865801
1989,21739,SW ALASKA ST,302,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,334.18283262795
1990,13537,WESTLAKE AVE N,1159,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,412.934866965968
1991,7242,5TH AVE,906,Y,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,425.995785439631
1992,"15264,15260,15262,15261,15263",N 145TH ST,1936,N,2015/12/16 00:00:00+00,,,13624,12874,13600,Study - 13-15,,1911.99493686134
1993,17895,NE 95TH ST,1806,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,141.831805394262
1994,484894,M L KING JR WAY S,309,N,1970/01/01 00:00:00+00,,,20000,,20000,Estimate,,828.008934614292
1995,"9993,9989,9992,9991,9990",DELRIDGE WAY SW,109,N,2015/05/05 00:00:00+00,,,14195,13673,14200,Study - 13-15,,1715.31954846403
1996,6122,4TH AVE,649,Y,1970/01/01 00:00:00+00,,,14500,,14500,Estimate,,306.999844549162
1997,"2962,2963",20TH AVE NE,1543,N,2013/09/24 00:00:00+00,,,6053,6123,6100,Study - 13-15,,1149.73283288962
1998,"12855,12854",SPOKANE ST - W SEA B RP,393,N,2015/04/03 00:00:00+00,,,7636,6158,7600,Study - 13-15,,1022.57680405918
1999,13180,UNION ST,773,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,322.067022835648
2000,8152,7TH AVE,682,Y,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,306.666897781291
2001,"4626,4627,12481,12483,12482,12480","30TH AVE NE,RAVENNA AVE NE",1835,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,3352.75150595927
2002,"20799,20800",S MCCLELLAN ST,443,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,433.521766784441
2003,12561,REPUBLICAN ST,1117,N,1970/01/01 00:00:00+00,,,2300,,2300,Study - 13-15,,321.821115443341
2004,"6876,6877,11643","45TH AVE SW,MARINE VIEW DR SW",86,N,2015/06/05 00:00:00+00,,,4801,4672,4800,Study - 13-15,,1892.88721113958
2005,8159,7TH AVE,899,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,426.806495453536
2006,15161,N 130TH ST,1906,N,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,792.158531001916
2007,"22518,1509","SW KLICKITAT WAY,11TH AVE SW",385,N,2015/04/03 00:00:00+00,,,1142,917,1100,Study - 13-15,,582.472651816478
2008,13710,WOODLAWN AVE NE,1681,N,1970/01/01 00:00:00+00,,,4500,,4500,Estimate,,290.110524914909
2009,"12731,12725,567746,12730,12724,12726,12727,12734,12728,12732,12729,12733",SAND POINT WAY NE,1800,N,2015/10/28 00:00:00+00,,,12607,11672,12600,Study - 13-15,,7866.7856402508
2010,"4465,4463,4466,4464,4461,4462,4468,4469,4467,4471,4470",3RD AVE NW,1750,N,2015/11/16 00:00:00+00,,,8854,8401,8900,Study - 13-15,,4007.2334229653
2011,"12779,12780",SENECA ST,810,Y,2015/09/22 00:00:00+00,,,6597,5714,6600,Study - 13-15,,644.305936862357
2012,"3181,20803,20806,20807,20805,20802,20804","21ST AVE S,S MCCLELLAN ST",446,N,1970/01/01 00:00:00+00,,,4000,,4000,Estimate,,1966.22717701324
2013,"12736,12740,12741,12737,12735,12738,12739",SAND POINT WAY NE,1840,N,2013/11/20 00:00:00+00,,,9773,9055,9800,Study - 13-15,,4324.39721018508
2014,8706,AIRPORT WAY S,524,N,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,492.377607199095
2015,13204,UNIVERSITY ST,780,Y,2015/12/01 00:00:00+00,,,9607,9238,9600,Study - 13-15,,323.982200371844
2016,"7871,7872",6TH AVE,653,Y,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,370.748762966719
