OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
1,94250370,N,12522,RENTON AVE S,163,"RENTON AVE S, N/O S CLOVERDALE ST",2009,12522,8300,0, ,Y,4615.13450362494
2,50000650,N,8702,AIRPORT WAY S,178,"AIRPORT WAY S, N/O S NORFOLK ST",2009,8702,11400,0, ,Y,18205.4789305487
3,127150040,N,16114,N NORTHGATE WAY,96,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2009,16114,27300,0, ,Y,4267.85702775597
4,123450090,N,15794,N 65TH ST,225,"N 65TH ST, W/O LINDEN AVE N",2009,15794,7900,0, ,Y,12341.6415454118
5,9550200,Y,2762,2ND AVE,39,"2ND AVE, NW/O LENORA ST",2009,2762,12100,0, ,Y,4161.47580530444
6,80150420,N,11190,LAKE CITY WAY NE,123,"LAKE CITY WAY NE, S/O NE 145TH ST",2009,11190,35400,0, ,Y,8237.29417199264
7,78850080,Y,11055,JAMES ST,221,"JAMES ST, NE/O 7TH AVE",2009,11055,33400,0, ,Y,1288.21315266112
8,71050870,N,10795,GREENWOOD AVE N,218,"GREENWOOD AVE N, S/O N 145TH ST",2009,10795,22100,0, ,Y,5299.69095228009
9,94250400,N,12525,RENTON AVE S,229,"RENTON AVE S, SE/O S HENDERSON ST",2009,12525,7500,0, ,Y,8272.07788559222
10,31300190,Y,6138,4TH AVE,140,"4TH AVE, NW/O LENORA ST",2009,6138,13600,0, ,Y,3501.39505602842
11,63200340,N,9992,DELRIDGE WAY SW,120,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2009,9992,13400,0, ,Y,2347.95925564091
12,300310,N,1221,1ST AVE S,38,"1ST AVE S, S/O S LUCILE ST",2009,1221,14100,0, ,Y,1881.08324341747
13,118650110,N,15163,N 130TH ST,93,"N 130TH ST, W/O ASHWORTH AVE N",2009,15163,19600,0, ,Y,5315.40860706321
14,26200100,N,5324,34TH AVE W,243,"34TH AVE W, N/O W BARRETT ST",2009,5324,5000,0, ,Y,7204.64018164331
15,133750350,N,17051,NE 55TH ST,25,"NE 55TH ST, E/O 35TH AVE NE",2009,17051,6000,0, ,Y,1323.03942947576
16,20950400,N,4471,3RD AVE NW,244,"3RD AVE NW, S/O NW 80TH ST",2009,4471,8200,0, ,Y,11692.8452307293
17,21550520,N,4641,30TH AVE NE,7,"30TH AVE NE, S/O NE 145TH ST",2009,4641,5900,0, ,Y,5900.81961776835
18,104300010,Y,13524,WESTERN AV OFF RP,30,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2009,13524,16800,0, ,Y,800.684096825855
19,93450660,N,12402,RAINIER AVE S,128,"RAINIER AVE S, NW/O S HOLLY ST",2009,12402,21300,0, ,Y,9900.479784441
