OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
254,76850010,R,490101,MADISON ST OFF RAMP,159,"MADISON ST OFF RP, SE/O 7TH AVE",2013,490101,15500,311665, ,Y,1244.03245887907
255,76600010,R,490103,JAMES ST OFF RAMP,146,"JAMES ST OFF RP, S/O JAMES ST",2013,490103,11400,311664, ,Y,434.652986933923
256,78150010,R,489863,UNIVERSITY ST ON RAMP,263,"UNIVERSITY ST ON RP, N/O I5 NB",2013,489863,8300,310514, ,Y,1876.98042552455
257,156200095,N,19699,S COLUMBIAN WAY,227,"S COLUMBIAN WAY, NW/O BEACON WR AVE S",2013,19699,15000,313238,Y,Y,7483.04903293447
258,40250440,N,7537,51ST AVE S,63,"51ST AVE S, S/O S BANGOR ST",2013,7537,6100,313689, ,Y,9968.71322630892
259,91600080,Y,12218,PINE ST,3,"PINE ST, NE/O 5TH AVE",2013,12218,8000,312387,Y, ,1287.49258810786
260,49000210,R,8554,9TH AVE NE ON RAMP,280,"9TH AVE NE, S/O NE 75TH ST",2013,8554,7500,312312,Y, ,535.121755558716
261,139450010,N,18037,NE PACIFIC PL,287,"NE PACIFIC PL, W/O MONTLAKE BLVD NE",2013,18037,9800,313207,Y, ,958.722888872438
262,48900200,Y,8526,9TH AVE,281,"9TH AVE, NW/O LENORA ST",2013,8526,3300,310739,Y, ,441.973229333234
263,73900020,Y,10961,HOWELL ST,283,"HOWELL ST, NE/O 9TH AVE",2013,10961,8300,310746,Y, ,1657.58624769903
264,89500020,Y,12042,OLIVE WAY,290,"OLIVE WAY, SW/O 5TH AVE",2013,12042,6300,312388,Y, ,656.269362231183
265,139500170,N,18047,NE PACIFIC ST,278,"NE PACIFIC ST, NW/O NE PACIFIC PL",2013,18047,25500,313213, ,Y,1488.54735639085
266,78850060,Y,11054,JAMES ST,284,"JAMES ST, NE/O 6TH AVE",2013,11054,31900,313118,Y, ,321.540353449057
267,65600100,N,10218,ELLIOTT AVE W,130,"ELLIOTT AVE W, SE/O W MERCER PL",2013,10218,44400,311610,Y,Y,7015.73251214325
268,80150170,N,11159,LAKE CITY WAY NE,148,"LAKE CITY WAY NE, NE/O NE 95TH ST",2013,11159,37900,312768, ,Y,8009.31847490532
269,300200,N,1211,1ST AVE S,29,"1ST AVE S, S/O S HORTON ST",2013,1211,30100,313448, ,Y,7546.9028850941
270,83000090,Y,11587,MADISON ST,1,"MADISON ST, SW/O 7TH AVE",2013,11587,27400,313129,Y, ,1934.48912664193
271,97770020,N,10993,SR 522,5,"SR522, SW/O 12TH AVE NE",2013,10993,34600,313252,Y, ,1298.29327097737
272,59000060,Y,9664,CHERRY ST,282,"CHERRY ST, NE/O 6TH AVE",2013,9664,8100,310679,Y, ,591.914847891363
273,75750010,R,490100,COLUMBIA ST RAMP,101,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",2013,490100,1100,310678, ,Y,327.206009350435
274,89500070,Y,12047,OLIVE WAY,289,"OLIVE WAY, NE/O 9TH AVE",2013,12047,9000,310881,Y, ,2253.68170847484
275,65700010,Y,10224,ELLIOTT AV ON RP,129,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2013,10224,14300,311464,Y,Y,4363.89853652657
276,134650170,N,17261,NE 65TH ST,194,"NE 65TH ST, W/O ROOSEVELT WAY NE",2013,17261,15300,313159,Y,Y,3446.82996580814
277,91600110,Y,12222,PINE ST,4,"PINE ST, NE/O 9TH AVE",2013,12222,7700,313219,Y, ,965.915422648164
278,91550100,Y,12205,PIKE ST,2,"PIKE ST, SW/O TERRY AVE",2013,12205,12200,313217,Y, ,1893.84264629778
279,134650170,N,17265,NE 65TH ST,192,"NE 65TH ST, W/O 15TH AVE NE",2013,17265,15800,311582,Y,Y,1338.68197514311
280,188450151,N,23541,WEST MARGINAL WAY SW,267,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW",2013,23541,11200,313480, ,Y,1656.74221142687
281,53960170,N,573395,BEACON AVE S,90,"BEACON AVE S, S/O S SPOKANE ST",2013,573395,13600,313712, ,Y,12515.9435621302
282,59920010,N,534681,COLMAN DOCK,100,"COLMAN DOCK , W/O ALASKAN WAY",2013,534681,9900,313526, ,Y,260.525766088636
283,178150150,N,22372,SW HOLDEN ST,256,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2013,22372,6600,313478, ,Y,4000.47390881984
284,98000130,Y,12906,STEWART ST,6,"STEWART ST, NE/O 9TH AVE",2013,12906,13100,311242,Y, ,2307.89919144827
285,19300260,N,4248,28TH AVE W,41,"28TH AVE W, S/O W DRAVUS ST",2013,4248,3800,311752, ,Y,7612.38525186929
286,50000204,N,8666,ARIPORT WAY S,80,"AIRPORT WAY S, S/O S STACY ST",2013,8666,10300,313454, ,Y,3838.87388051542
287,80800090,N,11264,LAKESIDE AVE S,285,"LAKESIDE AVE S, S/O S DEARBORN ST",2013,11264,6800,310945,Y, ,16301.5087555437
288,13900185,N,18049,NE PACIFIC ST,288,"NE PACIFIC ST, NW/O MONTLAKE BLVD NE",2013,18049,17700,313211,Y, ,934.910246969645
289,169750080,N,21329,S SPOKANE ST,241,"S SPOKANE (NR&SR) ST, W/O 4TH AVE S",2013,21329,9200,313471, ,Y,2026.26245791872
290,53150010,N,9047,BALLARD BR,,,2012,,54500,311270,,,5189.90318109541
291,101600170,N,13267,VALLEY ST,,,2012,,31900,310099,,,2369.01601737857
292,,N,8919,AURORA BR,,,2012,,56000,0,,,3324.6262259216
293,50650220,N,8766,ALASKAN WY VI NB & SB,,,2012,,45600,311272,,,8971.32742280105
294,50500170,N,8742,ALASKAN WAY S,,,2012,,14200,309951,,,6192.23008228768
295,53650010,N,9080,BATTERY ST TUNNEL NB & SB,,,2012,,52600,311379,,,2041.68460168053
