OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
97,57900270,N,9555,CALIFORNIA AVE SW,10,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2010,9555,12600,301397, ,Y,5272.75741860431
98,60150010,Y,9738,COLUMBIA ST ON RP,250,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2010,9738,14100,300140, ,Y,664.565591619892
99,300040,Y,1188,1ST AVE S,241,"1ST AVE S, N/O S KING ST",2010,1188,10800,302183, ,Y,4019.33897686864
100,101100010,N,13189,UNIVERSITY BR,159,"UNIVERSITY BR, SW/O POINT A",2010,13189,28000,303225, ,Y,2568.76809872283
101,27050120,N,5362,35TH AVE NE,167,"35TH AVE NE, S/O NE 75TH ST",2010,5362,13800,302138, ,Y,8287.31308923185
102,93150200,N,12312,QUEEN ANNE AVE N,191,"QUEEN ANNE AVE N, S/O CROCKETT ST",2010,12312,11100,303058, ,Y,5505.52887318193
103,185650015,N,23271,W EMERSON PL,269,"W EMERSON PL, SE/O 21ST AVE W",2010,23271,19900,301911, ,Y,2821.73620592855
104,300215,N,1214,1ST AVE S,131,"1ST AVE S, S/O S SPOKANE SR ST",2010,1214,12000,302181, ,Y,6553.64604584793
105,100140,Y,1013,1ST AVE,57,"1ST AVE, NW/O LENORA ST",2010,1013,24100,302186, ,Y,4622.27742897589
106,47850140,Y,8279,8TH AVE,35,"8TH AVE, SE/O PIKE ST",2010,8279,5300,302123, ,Y,3919.71877522258
107,129750230,N,16496,NE 125TH ST,116,"NE 125TH ST, W/O 27TH AVE NE",2010,16496,18000,301939, ,Y,5659.85457770603
108,93450730,N,12409,RAINIER AVE S,223,"RAINIER AVE S, S/O S OTHELLO ST",2010,12409,20600,303323, ,Y,7910.41450446981
109,166350100,N,20911,S MYRTLE ST,50,"S MYRTLE ST, W/O BEACON WR AVE S",2010,20911,11600,301981, ,Y,1055.60188805813
110,50450160,Y,269161,ALASKAN WAY,64,"ALASKAN WAY, SE/O PIKE ST",2010,269161,12600,302113, ,Y,2699.04032909276
111,63450280,Y,10023,DENNY WAY,211,"DENNY WAY, E/O STEWART ST",2010,10023,24500,301405, ,Y,1257.1204547639
112,67700450,N,10420,FAUNTLEROY WAY SW,106,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2010,10420,15300,301413, ,Y,8904.53350915018
113,71050650,N,10764,GREENWOOD AVE N,13,"GREENWOOD AVE N, S/O HOLMAN RD N",2010,10764,12000,301419, ,Y,6617.58513860343
114,53850050,N,9093,BEACH DR SW,174,"BEACH DR SW, SE/O 61ST AVE SW",2010,9093,4300,302097, ,Y,17360.7054255012
115,31300120,Y,6130,4TH AVE,206,"4TH AVE, SE/O PIKE ST",2010,6130,18600,300361, ,Y,4472.22651777117
116,63450245,Y,158085,DENNY WAY,177,"DENNY WAY, E/O MINOR AVE",2010,158085,23300,302085, ,Y,1134.11044108886
117,47050080,Y,8157,7TH AVE,96,"7TH AVE, SE/O PIKE ST",2010,8157,9400,302127, ,Y,1628.52842406059
118,44350170,Y,7890,6TH AVE,171,"6TH AVE, NW/O LENORA ST",2010,7890,6000,218351, ,Y,2945.64639492389
119,80150280,N,11166,LAKE CITY WAY NE,180,"LAKE CITY WAY NE, SW/O NE 115TH ST",2010,11166,44100,301427, ,Y,2944.375136249
120,93451120,N,12439,RAINIER AVE S,263,"RAINIER AVE S, E/O 75TH AVE S",2010,12439,18000,302057, ,Y,8041.57296678246
121,27200460,N,5484,35TH AVE SW,31,"35TH AVE SW, N/O SW ROXBURY ST",2010,5484,16100,302136, ,Y,2685.90334176041
122,119750060,N,15264,N 145TH ST,16,"N 145TH ST, W/O LINDEN AVE N",2010,15264,13300,302033, ,Y,3896.13507154776
123,38950585,N,7255,5TH AVE NE,62,"5TH AVE NE, S/O NE NORTHGATE WAY",2010,7255,22700,301379, ,Y,8580.44053368767
124,52500700,N,8957,AURORA AVE N,247,"AURORA AVE N, S/O N 80TH ST",2010,8957,37700,302103, ,Y,13102.2169933204
125,125000140,N,15962,N 85TH ST,46,"N 85TH ST, W/O ASHWORTH AVE N",2010,15962,24700,303148, ,Y,6273.09271731024
126,151300110,N,19223,NW MARKET ST,78,"NW MARKET ST, W/O 8TH AVE NW",2010,19223,24100,303172, ,Y,6251.5924486624
127,136400060,N,17610,NE 80TH ST,48,"NE 80TH ST, E/O 5TH AVE NE",2010,17610,9700,302011, ,Y,1329.87340928081
128,5550170,N,2047,15TH AVE NE,129,"15TH AVE NE, S/O NE 65TH ST",2010,2047,8900,302174, ,Y,5297.11592131508
129,132850275,N,288753,NE 45TH ST,153,"NE 45TH ST, W/O NE 45TH PL",2010,288753,46500,302019, ,Y,2427.54180871999
130,160200190,N,20097,S GENESEE ST,195,"S GENESEE ST, E/O 38TH AVE S",2010,20097,8800,301023, ,Y,4316.75631629361
131,172350300,N,21625,SW 106TH ST,268,"SW 106TH ST, W/O SEOLA BEACH DR SW",2010,21625,9400,301973, ,Y,3274.92272362346
132,133200100,N,16929,NE 50TH ST,221,"NE 50TH ST, W/O ROOSEVELT WAY NE",2010,16929,21800,302017, ,Y,2477.37512073646
133,94850100,N,12601,ROOSEVELT WAY NE,22,"ROOSEVELT WAY NE, N/O NE 50TH ST",2010,12601,10500,300719, ,Y,9323.63930854813
134,120600150,N,15416,N 40TH ST,184,"N 40TH ST, E/O STONE WAY N",2010,15416,11500,301933, ,Y,4695.0007882387
135,102580290,N,13333,WEST SEATTLE BR EB & WB,127,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2010,13333,43700,303354, ,Y,7828.25358758133
136,53960170,N,573395,BEACON AVE S,65,"BEACON ER & WR AVE S, S/O S SPOKANE ST",2010,573395,13100,302202, ,Y,12515.9435621287
137,31500060,N,6232,4TH AVE S,244,"4TH AVE S, S/O SEATTLE BLVD S",2010,6232,32000,301375, ,Y,9143.61202873099
138,173050020,N,21691,SW ADMIRAL WAY,84,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2010,21691,25300,301967, ,Y,5797.16372340547
139,112750115,N,14348,E MADISON ST,145,"E MADISON ST, SW/O 17TH AVE",2010,14348,21900,302991, ,Y,5371.13088777414
140,164950060,N,20693,S LUCILE ST,156,"S LUCILE ST, E/O 4TH AVE S",2010,20693,6700,300690, ,Y,2110.63666943403
141,31500330,N,6261,4TH AVE S,61,"4TH AVE S, N/O S MICHIGAN ST",2010,6261,19300,301377, ,Y,3468.62324115937
142,63200030,N,9960,DELRIDGE WAY SW,39,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2010,9960,20000,302093, ,Y,12560.2519582529
143,110700050,N,14060,EAST GREEN LAKE DR N,105,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2010,14060,10700,301905, ,Y,5942.77387871204
144,86150160,N,11775,MERCER ST,73,"MERCER ST, W/O FAIRVIEW AVE N",2010,11775,37900,218199, ,Y,1988.34009824041
145,113000280,N,14407,EAST MARGINAL WAY S,146,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2010,14407,12600,301917, ,Y,1679.00237711452
146,5600260,N,2117,15TH AVE NW,165,"15TH AVE NW, S/O NW 80TH ST",2010,2117,30800,302168, ,Y,8046.17743951213
147,71050490,N,10746,GREENWOOD AVE N,216,"GREENWOOD AVE N, S/O N 80TH ST",2010,10746,12800,302079, ,Y,4085.27162152287
148,38950590,N,7256,5TH AVE NE,135,"5TH AVE NE, N/O NE NORTHGATE WAY",2010,7256,19300,301381, ,Y,5299.08800735826
149,10750020,N,3090,20TH AVE W,58,"20TH AVE W, S/O W DRAVUS ST",2010,3090,6400,301153, ,Y,9516.9287187092
150,86950030,N,11911,MONTLAKE BLVD NE,152,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2010,11911,45900,301443, ,Y,3751.85947455279
151,1500170,N,1298,10TH AVE E,128,"10TH AVE E, S/O E BOSTON ST",2010,1298,13000,301145, ,Y,6739.72457478704
152,4650470,N,1960,14TH AVE S,238,"14TH AVE S, N/O S DIRECTOR ST",2010,1960,14900,302176, ,Y,1863.58888050826
153,156200095,N,19699,S COLUMBIAN WAY,123,"S COLUMBIAN WAY, W/O BEACON WR AVE S",2010,19699,16000,301976, ,Y,7483.04903290385
154,118650070,N,15160,N 130TH ST,258,"N 130TH ST, W/O LINDEN AVE N",2010,15160,13000,302035, ,Y,2601.58535240071
155,125000070,N,15954,N 85TH ST,47,"N 85TH ST, W/O LINDEN AVE N",2010,15954,24600,302025, ,Y,5288.15231998308
156,121950060,N,15641,N 50TH ST,115,"N 50TH ST, W/O FREMONT AVE N",2010,15641,11900,302029, ,Y,3394.51184101835
157,164200065,N,20628,S LANDER ST,155,"S LANDER ST, W/O 6TH AVE S",2010,20628,17000,303269, ,Y,3159.95873157038
158,121250320,N,15553,N 45TH ST,45,"N 45TH ST, W/O EASTERN AVE N",2010,15553,21700,301935, ,Y,4925.06513858519
159,55650170,Y,9318,BOREN AVE,9,"BOREN AVE, SE/O PIKE ST",2010,9318,25400,301393, ,Y,4223.70513102867
160,48000400,N,8406,8TH AVE NW,5,"8TH AVE NW, S/O NW 80TH ST",2010,8406,15100,302121, ,Y,14468.6430631491
161,3400060,N,1656,12TH AVE S,237,"12TH AVE S, S/O S WELLER ST",2010,1656,21000,302178, ,Y,3408.18050988179
162,63200190,N,9976,DELRIDGE WAY SW,100,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2010,9976,15600,301403, ,Y,6001.09000101583
163,185250170,N,23222,W DRAVUS ST,198,"W DRAVUS ST, E/O 20TH AVE W",2010,23222,21200,301955, ,Y,1380.02633498548
164,65600100,N,10218,ELLIOTT AVE W,12,"ELLIOTT AVE W, SE/O W MERCER PL",2010,10218,45500,301407, ,Y,7015.73251212019
165,134650300,N,17278,NE 65TH ST,261,"NE 65TH ST, E/O 25TH AVE NE",2010,17278,15300,301951, ,Y,2556.73720267486
166,82930400,N,352636,ML KING JR BLVD S NB & SB,109,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2010,352636,19000,302200, ,Y,15241.4791417095
167,68700160,N,10498,FREMONT AVE N,41,"FREMONT AVE N, S/O N 46TH ST",2010,10498,10300,301415, ,Y,5330.67249981216
168,112750380,N,14372,E MADISON ST,212,"E MADISON ST, SW/O 38TH AVE E",2010,14372,12500,301915, ,Y,5345.49465100942
169,80150170,N,11159,LAKE CITY WAY NE,70,"LAKE CITY WAY NE, NE/O NE 95TH ST",2010,11159,34900,303115, ,Y,8009.31847495162
170,162850080,N,20488,S JACKSON ST,25,"S JACKSON ST, E/O 5TH AVE S",2010,20488,13600,301987, ,Y,5255.77699440489
171,70000070,N,10638,GILMAN AVE W,215,"GILMAN AVE W, NW/O W EMERSON PL",2010,10638,6100,301417, ,Y,4854.07247943759
172,73600060,N,10940,HOLMAN RD NW,217,"HOLMAN RD NW, NE/O 13TH E AVE NW",2010,10940,29300,301423, ,Y,7786.59339464017
