OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,SHAPE_Length
216,116500250,N,14903,E UNION ST,69,"E UNION ST, W/O 26TH AVE",2010,14903,9600,301925, ,Y,5065.09180827806
217,3250020,N,1551,12TH AVE E,236,"12TH AVE E, N/O E JOHN ST",2010,1551,8700,301147, ,Y,2417.62749523652
218,82930910,N,489661,M L KING JR WAY S,15,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2010,489661,29300,302073, ,Y,5307.43389226279
219,82920010,N,11495,M L KING JR WAY E,71,"M L KING JR WAY E, S/O E JOHN ST",2010,11495,10900,301435, ,Y,5599.15110169307
220,165650100,N,20848,S MICHIGAN ST,265,"S MICHIGAN ST, E/O 6TH AVE S",2010,20848,38800,301989, ,Y,3586.29351020242
221,93450300,N,12368,RAINIER AVE S,225,"RAINIER AVE S, SE/O M L KING JR WAY S",2010,12368,30100,302059, ,Y,5858.37139918552
222,116900140,N,14946,E YESLER WAY,179,"E YESLER WAY, W/O 23RD AVE",2010,14946,8000,301927, ,Y,6243.18893891577
223,167350150,N,21055,S OTHELLO ST,51,"S OTHELLO ST, E/O 43RD AVE S",2010,21055,8400,301991, ,Y,6539.88964673288
224,2300050,N,1408,11TH AVE NE,88,"11TH AVE NE, S/O NE 45TH ST",2010,1408,9500,301173, ,Y,7370.84136383785
225,174000400,N,21861,FAUNTLEROY FERRY DOCK,26,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2010,21861,5800,301959, ,Y,304.679593834093
226,178150150,N,22372,SW HOLDEN ST,27,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2010,22372,5600,301100, ,Y,4000.47390883548
227,65700010,Y,10224,ELLIOTT AV ON RP,40,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2010,10224,16600,300143, ,Y,4363.89853652904
228,94850600,N,12652,ROOSEVELT WAY NE,194,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2010,12652,15300,301891, ,Y,9284.03718155283
229,77850010,R,489775,STEWART ST RAMP,235,"STEWART ST OFF & REV RP, N/O STEWART ST; TOTAL FLOW",2010,489775,20900,302815, ,Y,1118.18221052889
230,75680010,R,489839,PIKE RAMP,200,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2010,489839,2500,303443, ,Y,2503.77548447164
231,78150010,R,489863,UNIVERSITY ST ON RAMP,163,"UNIVERSITY ST ON RP, N/O I5 NB",2010,489863,8500,303444, ,Y,1876.98042553049
232,76600010,R,490103,JAMES ST OFF RAMP,107,"JAMES ST OFF RP, SE/O JAMES ST",2010,490103,12100,300321, ,Y,434.652986915031
233,77300010,R,489779,MELROSE AVE ON RAMP,190,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2010,489779,19100,300324, ,Y,1405.44778148369
234,78200010,R,489781,YALE ST ON RAMP,218,"HOWELL ST ON RP, N/O I5 SB",2010,489781,17300,300329, ,Y,448.622393892179
235,77250010,R,489829,OLIVE WAY OFF RAMP,189,"OLIVE WY OFF RP, S/O OLIVE WAY",2010,489829,5900,300323, ,Y,1120.93570241461
236,76600020,R,490084,COLUMBIA ST OFF RAMP,14,"JAMES ST OFF RP, NW/O COLUMBIA ST",2010,490084,16700,218543, ,Y,314.99159596914
237,96200020,R,490079,SENECA ST OFF RAMP,82,"SENECA ST OFF RP, SE/O SENECA ST",2010,490079,13000,218376, ,Y,1443.09187832703
238,77800010,R,490080,SPRING ST ON RAMP,267,"SPRING ST ON RP, SE/O SPRING ST",2010,490080,16200,218544, ,Y,424.613715661013
239,78100010,R,489864,UNION ST OFF RAMP,231,"UNION ST OFF RP, NE/O UNION ST",2010,489864,10800,218373, ,Y,309.136216965942
240,76650010,R,490110,JAMES ST ON RAMP SB,170,"6TH AV ON RP, SE/O 6TH AVE",2010,490110,19900,218487, ,Y,644.882326268824
241,75600010,R,490102,CHERRY ST ON RAMP NB,98,"CHERRY ST ON RP, NW/O CHERRY ST",2010,490102,11800,300322, ,Y,1466.0193838314
242,76850010,R,490101,MADISON ST OFF RAMP,257,"MADISON ST OFF RP, SE/O 7TH AVE",2010,490101,15000,300447, ,Y,1244.03245888383
243,75650010,R,490099,CHERRY ST REV RAMP,37,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2010,490099,2900,218378, ,Y,225.508948316035
244,97810020,N,490543,SR99 FY,232,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2010,490543,39500,302264, ,Y,6145.46164539635
245,13750030,N,3444,23RD AVE S,166,"23RD AVE S, S/O S JACKSON ST",2010,3444,13400,302160, ,Y,5429.36245565569
246,181760010,N,22804,SW SPOKANE BR,126,"SW SPOKANE BR, W/O SW SPOKANE E ST",2010,22804,14400,303374, ,Y,3997.45282891726
247,59920010,N,534681,COLMAN DOCK,249,"COLMAN DOCK , W/O ALASKAN WAY",2010,534681,9900,302212, ,Y,260.525766079215
248,113000390,N,14420,EAST MARGINAL WAY S,148,"EAST MARGINAL WAY S, SE/O BOEING DR",2010,14420,13500,302039, ,Y,1390.10676233102
249,31500050,Y,6230,4TH AVE S,205,"4TH AVE S, S/O 2ND AV ET S",2010,6230,21600,302134, ,Y,932.017380165657
250,27200140,N,5452,35TH AVE SW,95,"35TH AVE SW, S/O SW ALASKA ST",2010,5452,22700,301371, ,Y,7074.60116424647
251,55650010,N,9303,BOREN AVE,210,"BOREN AVE, NW/O E YESLER WAY",2010,9303,19800,301391, ,Y,3403.67355908032
252,50950010,N,8782,ALKI AVE SW,36,"ALKI AVE SW, W/O HARBOR AVE SW",2010,8782,10600,302969, ,Y,19122.2761264246
253,81500030,N,11336,LEARY WAY NW,181,"LEARY WAY NW, NW/O 3RD AVE NW",2010,11336,28700,301431, ,Y,5713.53060451587
254,86200680,N,11752,MERIDIAN AVE N,74,"MERIDIAN AVE N, S/O N 145TH ST",2010,11752,3900,302069, ,Y,3986.47317772939
255,102580040,N,531032,WEST SEATTLE BR EB & WB,234,WEST SEATTLE BR EB & WB E/O 1ST AV S OFF RP,2010,531032,69600,302789, ,Y,2529.16226093915
256,53900160,N,9125,BEACON AVE S,209,"BEACON AVE S, N/O S SPOKANE ST",2010,9125,11800,301389, ,Y,3460.82143500044
257,55650170,B,9318,BOREN AVE,9,"BOREN AVE, SE/O PIKE ST",2010,9318,25400,301393, ,Y,1224.11373893542
258,520040,N,1270,1ST AV S BR NB,240,"1ST AV S BR NB & SB, S/O POINT A",2010,1270,99000,302210, ,Y,6772.28437414661
259,75750010,R,490100,COLUMBIA ST RAMP,99,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",2010,490100,1000,218379, ,Y,327.206009348479
260,134650170,N,17265,NE 65TH ST,17,"NE 65TH ST, W/O 15TH AVE NE",2010,17265,17100,301947, ,Y,1338.68197512872
